RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A83016,08,TPP,47,0,0
A83017,04,TPP,32,0,0
A83017,05,TPP,18,0,0
A83018,04,TPP,63,0,0
A83018,05,TPP,71,0,0
A83018,06,TPP,80,0,0
A83018,07,TPP,62,0,0
A83018,08,TPP,75,0,0
A83020,04,TPP,60,0,0
A83020,05,TPP,81,2,"0.024691358024691357"
A83020,06,TPP,55,0,0
A83020,07,TPP,85,0,0
A83020,08,TPP,78,0,0
A83021,04,TPP,68,0,0
A83021,05,TPP,64,0,0
A83021,06,TPP,79,1,"0.012658227848101266"
A83021,07,TPP,83,0,0
A83021,08,TPP,74,0,0
A83022,04,TPP,150,0,0
A83022,05,TPP,140,0,0
A83022,06,TPP,135,0,0
A83022,07,TPP,167,0,0
A83022,08,TPP,128,0,0
A83023,04,TPP,70,1,"0.014285714285714285"
A83023,05,TPP,103,0,0
A83023,06,TPP,73,0,0
A83023,07,TPP,72,1,"0.013888888888888888"
A83023,08,TPP,71,0,0
A83024,04,EMIS,19,7,"0.3684210526315789"
A83024,05,EMIS,20,6,"0.3"
A83024,06,EMIS,18,3,"0.16666666666666666"
A83024,07,EMIS,32,6,"0.1875"
A83024,08,EMIS,21,3,"0.14285714285714285"
A83025,04,TPP,53,1,"0.018867924528301886"
A83025,05,TPP,42,0,0
A83025,06,TPP,57,0,0
A83025,07,TPP,63,0,0
A83025,08,TPP,57,0,0
A83026,04,EMIS,47,8,"0.1702127659574468"
A83026,05,EMIS,50,10,"0.2"
A83026,06,EMIS,49,10,"0.20408163265306123"
A83026,07,EMIS,51,17,"0.3333333333333333"
A83026,08,EMIS,65,20,"0.3076923076923077"
A83027,04,TPP,36,0,0
A83027,05,TPP,32,0,0
A83027,06,TPP,25,0,0
A83027,07,TPP,49,0,0
A83027,08,TPP,32,0,0
A83028,04,EMIS,46,4,"0.08695652173913043"
A83028,05,EMIS,80,43,"0.5375"
A83028,06,EMIS,40,12,"0.3"
A83028,07,EMIS,66,14,"0.21212121212121213"
A83028,08,EMIS,54,4,"0.07407407407407407"
A83029,04,EMIS,21,6,"0.2857142857142857"
A83029,05,EMIS,15,2,"0.13333333333333333"
A83029,06,EMIS,19,2,"0.10526315789473684"
A83029,07,EMIS,20,3,"0.15"
A83029,08,EMIS,28,8,"0.2857142857142857"
A83030,04,TPP,85,0,0
A83030,05,TPP,96,0,0
A83030,06,TPP,70,0,0
A83030,07,TPP,101,3,"0.0297029702970297"
A83030,08,TPP,133,0,0
A83031,04,TPP,61,0,0
A83031,05,TPP,42,0,0
